                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.45618,                 0.3289,                0.43931,                0.92071,                0.91503,                0.96566,                0.97311,                0.93461,                0.91503,                0.96566,                0.97311,                0.91794,                0.31737,                0.24819,                0.53531,                0.68996,              0.0015446,              0.0015446,              0.0015446
                     26,                0.44355,                0.35238,                0.43602,                0.91465,                0.93501,                0.95351,                 0.9721,                0.93986,                0.93119,                0.94961,                0.96377,                0.90847,                0.29818,                0.32525,                0.45931,                0.66679,              0.0015248,              0.0015248,              0.0015248
                     27,                0.43909,                0.36259,                0.42671,                0.91528,                0.92412,                0.96101,                  0.973,                0.94263,                0.92412,                0.96101,                0.97265,                0.91913,                0.28879,                0.29806,                0.52523,                0.66503,               0.001505,               0.001505,               0.001505
                     28,                0.45079,                0.37555,                0.42687,                0.92349,                0.93178,                0.95856,                0.96953,                0.94147,                0.93181,                0.95889,                0.96961,                0.92012,                0.32141,                0.29656,                0.48833,                0.68141,              0.0014852,              0.0014852,              0.0014852
                     29,                0.44137,                 0.3428,                0.43175,                0.91909,                0.93315,                0.96296,                0.97665,                0.94357,                0.93315,                0.96296,                0.97665,                0.93223,                0.28207,                0.27437,                0.44179,                0.66778,              0.0014654,              0.0014654,              0.0014654
                     30,                0.43552,                0.36359,                0.40418,                0.91746,                0.92661,                0.95712,                 0.9681,                0.93632,                0.92661,                0.95712,                 0.9681,                0.92049,                0.27781,                0.28446,                0.48248,                0.66019,              0.0014456,              0.0014456,              0.0014456
                     31,                0.44741,                0.35041,                 0.4187,                0.91957,                0.94077,                0.95989,                0.97891,                0.94861,                0.94077,                0.95989,                0.97807,                0.94224,                0.34344,                0.28363,                0.44793,                0.68875,              0.0014258,              0.0014258,              0.0014258
                     32,                0.44351,                0.33395,                0.42593,                0.91536,                0.92373,                  0.968,                0.97314,                0.94849,                0.92187,                0.96605,                0.97244,                0.92861,                0.27253,                0.31225,                0.38974,                0.66043,               0.001406,               0.001406,               0.001406
                     33,                0.42537,                0.31812,                0.41528,                0.91172,                0.92658,                0.96296,                0.97162,                0.94518,                0.92471,                0.96101,                0.97029,                0.92997,                 0.2775,                0.27609,                0.48424,                0.66422,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.4234,                0.31895,                0.39124,                0.91447,                0.92337,                0.97661,                 0.9773,                0.95219,                0.92337,                0.97661,                 0.9773,                0.94432,                0.28462,                0.24743,                0.41835,                0.67366,              0.0013664,              0.0013664,              0.0013664
                     35,                0.42971,                0.33106,                0.40407,                0.90984,                0.93642,                0.98051,                  0.972,                0.93969,                0.93642,                0.98051,                  0.972,                0.92884,                0.29108,                0.23769,                0.42518,                0.66396,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.4343,                0.31229,                0.40287,                0.91183,                0.93182,                0.98575,                0.96942,                0.93795,                0.93182,                0.98575,                0.96942,                0.91577,                0.28014,                0.25787,                0.35309,                 0.6677,              0.0013268,              0.0013268,              0.0013268
                     37,                0.42509,                0.29634,                0.39933,                 0.9135,                0.92556,                0.98051,                0.97558,                0.95127,                0.92556,                0.98051,                0.97558,                0.93869,                0.27002,                0.22963,                  0.403,                0.66167,               0.001307,               0.001307,               0.001307
                     38,                 0.4275,                0.33104,                0.40007,                0.90516,                0.93609,                0.97072,                 0.9828,                0.95913,                0.93609,                0.97072,                 0.9828,                0.94633,                0.27703,                0.25008,                0.34144,                0.66093,              0.0012872,              0.0012872,              0.0012872
